Project	Revision(prev)	Revision(cur)	Added	Deleted	File
activemq	activemq-5.0.0	activemq-5.1.0	37	0	activemq-camel-loadtest/src/test/java/org/apache/activemq/soaktest/LoadTest.java
activemq	activemq-5.0.0	activemq-5.1.0	39	0	activemq-camel-loadtest/src/test/java/org/apache/activemq/soaktest/localBroker/LocalBrokerLoadTest.java
activemq	activemq-5.0.0	activemq-5.1.0	39	0	activemq-camel-loadtest/src/test/java/org/apache/activemq/soaktest/localBroker/LocalBrokerParallelProducerLoadTest.java
activemq	activemq-5.0.0	activemq-5.1.0	244	0	activemq-console/src/main/java/org/apache/activemq/console/CommandContext.java
activemq	activemq-5.0.0	activemq-5.1.0	3	2	activemq-console/src/main/java/org/apache/activemq/console/ConsoleCommandHandler.java
activemq	activemq-5.0.0	activemq-5.1.0	5	6	activemq-console/src/main/java/org/apache/activemq/console/command/AbstractAmqCommand.java
activemq	activemq-5.0.0	activemq-5.1.0	9	3	activemq-console/src/main/java/org/apache/activemq/console/command/AbstractCommand.java
activemq	activemq-5.0.0	activemq-5.1.0	3	5	activemq-console/src/main/java/org/apache/activemq/console/command/AbstractJmxCommand.java
activemq	activemq-5.0.0	activemq-5.1.0	9	10	activemq-console/src/main/java/org/apache/activemq/console/command/AmqBrowseCommand.java
activemq	activemq-5.0.0	activemq-5.1.0	7	8	activemq-console/src/main/java/org/apache/activemq/console/command/BrowseCommand.java
activemq	activemq-5.0.0	activemq-5.1.0	5	0	activemq-console/src/main/java/org/apache/activemq/console/command/Command.java
activemq	activemq-5.0.0	activemq-5.1.0	3	4	activemq-console/src/main/java/org/apache/activemq/console/command/ListCommand.java
activemq	activemq-5.0.0	activemq-5.1.0	6	7	activemq-console/src/main/java/org/apache/activemq/console/command/PurgeCommand.java
activemq	activemq-5.0.0	activemq-5.1.0	8	9	activemq-console/src/main/java/org/apache/activemq/console/command/QueryCommand.java
activemq	activemq-5.0.0	activemq-5.1.0	20	11	activemq-console/src/main/java/org/apache/activemq/console/command/ShellCommand.java
activemq	activemq-5.0.0	activemq-5.1.0	7	8	activemq-console/src/main/java/org/apache/activemq/console/command/ShutdownCommand.java
activemq	activemq-5.0.0	activemq-5.1.0	3	4	activemq-console/src/main/java/org/apache/activemq/console/command/StartCommand.java
activemq	activemq-5.0.0	activemq-5.1.0	1	2	activemq-console/src/main/java/org/apache/activemq/console/filter/MapTransformFilter.java
activemq	activemq-5.0.0	activemq-5.1.0	0	249	activemq-console/src/main/java/org/apache/activemq/console/formatter/GlobalWriter.java
activemq	activemq-5.0.0	activemq-5.1.0	1	1	activemq-console/src/main/java/org/apache/activemq/console/formatter/OutputFormatter.java
activemq	activemq-5.0.0	activemq-5.1.0	76	41	activemq-core/src/main/java/org/apache/activemq/ActiveMQConnection.java
activemq	activemq-5.0.0	activemq-5.1.0	22	3	activemq-core/src/main/java/org/apache/activemq/ActiveMQConnectionFactory.java
activemq	activemq-5.0.0	activemq-5.1.0	3	2	activemq-core/src/main/java/org/apache/activemq/ActiveMQInputStream.java
activemq	activemq-5.0.0	activemq-5.1.0	129	108	activemq-core/src/main/java/org/apache/activemq/ActiveMQMessageConsumer.java
activemq	activemq-5.0.0	activemq-5.1.0	3	2	activemq-core/src/main/java/org/apache/activemq/ActiveMQMessageProducer.java
activemq	activemq-5.0.0	activemq-5.1.0	15	0	activemq-core/src/main/java/org/apache/activemq/ActiveMQMessageProducerSupport.java
activemq	activemq-5.0.0	activemq-5.1.0	13	13	activemq-core/src/main/java/org/apache/activemq/ActiveMQMessageTransformation.java
activemq	activemq-5.0.0	activemq-5.1.0	12	10	activemq-core/src/main/java/org/apache/activemq/ActiveMQOutputStream.java
activemq	activemq-5.0.0	activemq-5.1.0	2	2	activemq-core/src/main/java/org/apache/activemq/ActiveMQQueueSender.java
activemq	activemq-5.0.0	activemq-5.1.0	15	10	activemq-core/src/main/java/org/apache/activemq/ActiveMQSession.java
activemq	activemq-5.0.0	activemq-5.1.0	2	2	activemq-core/src/main/java/org/apache/activemq/ActiveMQTopicPublisher.java
activemq	activemq-5.0.0	activemq-5.1.0	1	1	activemq-core/src/main/java/org/apache/activemq/ActiveMQXAConnection.java
activemq	activemq-5.0.0	activemq-5.1.0	4	3	activemq-core/src/main/java/org/apache/activemq/AdvisoryConsumer.java
activemq	activemq-5.0.0	activemq-5.1.0	41	0	activemq-core/src/main/java/org/apache/activemq/EnhancedConnection.java
activemq	activemq-5.0.0	activemq-5.1.0	77	30	activemq-core/src/main/java/org/apache/activemq/advisory/AdvisoryBroker.java
activemq	activemq-5.0.0	activemq-5.1.0	2	1	activemq-core/src/main/java/org/apache/activemq/advisory/AdvisorySupport.java
activemq	activemq-5.0.0	activemq-5.1.0	60	0	activemq-core/src/main/java/org/apache/activemq/advisory/DestinationEvent.java
activemq	activemq-5.0.0	activemq-5.1.0	26	0	activemq-core/src/main/java/org/apache/activemq/advisory/DestinationListener.java
activemq	activemq-5.0.0	activemq-5.1.0	193	0	activemq-core/src/main/java/org/apache/activemq/advisory/DestinationSource.java
activemq	activemq-5.0.0	activemq-5.1.0	5	0	activemq-core/src/main/java/org/apache/activemq/broker/Broker.java
activemq	activemq-5.0.0	activemq-5.1.0	1	1	activemq-core/src/main/java/org/apache/activemq/broker/BrokerFactory.java
activemq	activemq-5.0.0	activemq-5.1.0	5	1	activemq-core/src/main/java/org/apache/activemq/broker/BrokerFilter.java
activemq	activemq-5.0.0	activemq-5.1.0	208	60	activemq-core/src/main/java/org/apache/activemq/broker/BrokerService.java
activemq	activemq-5.0.0	activemq-5.1.0	6	0	activemq-core/src/main/java/org/apache/activemq/broker/Connection.java
activemq	activemq-5.0.0	activemq-5.1.0	17	2	activemq-core/src/main/java/org/apache/activemq/broker/ConnectionContext.java
activemq	activemq-5.0.0	activemq-5.1.0	4	0	activemq-core/src/main/java/org/apache/activemq/broker/EmptyBroker.java
activemq	activemq-5.0.0	activemq-5.1.0	4	0	activemq-core/src/main/java/org/apache/activemq/broker/ErrorBroker.java
activemq	activemq-5.0.0	activemq-5.1.0	11	10	activemq-core/src/main/java/org/apache/activemq/broker/MutableBrokerFilter.java
activemq	activemq-5.0.0	activemq-5.1.0	0	4	activemq-core/src/main/java/org/apache/activemq/broker/SingleTransportConnectionStateRegister.java
activemq	activemq-5.0.0	activemq-5.1.0	2	2	activemq-core/src/main/java/org/apache/activemq/broker/SslBrokerService.java
activemq	activemq-5.0.0	activemq-5.1.0	187	159	activemq-core/src/main/java/org/apache/activemq/broker/TransportConnection.java
activemq	activemq-5.0.0	activemq-5.1.0	91	68	activemq-core/src/main/java/org/apache/activemq/broker/TransportConnector.java
activemq	activemq-5.0.0	activemq-5.1.0	92	0	activemq-core/src/main/java/org/apache/activemq/broker/cluster/ConnectionSplitBroker.java
activemq	activemq-5.0.0	activemq-5.1.0	10	16	activemq-core/src/main/java/org/apache/activemq/broker/ft/MasterConnector.java
activemq	activemq-5.0.0	activemq-5.1.0	55	14	activemq-core/src/main/java/org/apache/activemq/broker/jmx/BrokerView.java
activemq	activemq-5.0.0	activemq-5.1.0	22	3	activemq-core/src/main/java/org/apache/activemq/broker/jmx/BrokerViewMBean.java
activemq	activemq-5.0.0	activemq-5.1.0	55	4	activemq-core/src/main/java/org/apache/activemq/broker/jmx/DestinationView.java
activemq	activemq-5.0.0	activemq-5.1.0	65	1	activemq-core/src/main/java/org/apache/activemq/broker/jmx/DestinationViewMBean.java
activemq	activemq-5.0.0	activemq-5.1.0	2	2	activemq-core/src/main/java/org/apache/activemq/broker/jmx/ManagedQueueRegion.java
activemq	activemq-5.0.0	activemq-5.1.0	1	1	activemq-core/src/main/java/org/apache/activemq/broker/jmx/ManagedRegionBroker.java
activemq	activemq-5.0.0	activemq-5.1.0	6	5	activemq-core/src/main/java/org/apache/activemq/broker/jmx/ManagedTempQueueRegion.java
activemq	activemq-5.0.0	activemq-5.1.0	2	2	activemq-core/src/main/java/org/apache/activemq/broker/jmx/ManagedTransportConnector.java
activemq	activemq-5.0.0	activemq-5.1.0	4	1	activemq-core/src/main/java/org/apache/activemq/broker/jmx/ManagementContext.java
