Project	Revision(prev)	Revision(cur)	Added	Deleted	File
activemq	activemq-5.2.0	activemq-5.3.0	419	343	activemq-core/src/main/java/org/apache/activemq/broker/BrokerService.java
activemq	activemq-5.2.0	activemq-5.3.0	27	0	activemq-core/src/main/java/org/apache/activemq/broker/ConnectionContext.java
activemq	activemq-5.2.0	activemq-5.3.0	12	0	activemq-core/src/main/java/org/apache/activemq/broker/ProducerBrokerExchange.java
activemq	activemq-5.2.0	activemq-5.3.0	150	168	activemq-core/src/main/java/org/apache/activemq/broker/TransportConnection.java
activemq	activemq-5.2.0	activemq-5.3.0	26	15	activemq-core/src/main/java/org/apache/activemq/broker/TransportConnector.java
activemq	activemq-5.2.0	activemq-5.3.0	19	5	activemq-core/src/main/java/org/apache/activemq/broker/ft/MasterBroker.java
activemq	activemq-5.2.0	activemq-5.3.0	90	13	activemq-core/src/main/java/org/apache/activemq/broker/ft/MasterConnector.java
activemq	activemq-5.2.0	activemq-5.3.0	157	0	activemq-core/src/main/java/org/apache/activemq/broker/jmx/AnnotatedMBean.java
activemq	activemq-5.2.0	activemq-5.3.0	44	0	activemq-core/src/main/java/org/apache/activemq/broker/jmx/BrokerView.java
activemq	activemq-5.2.0	activemq-5.3.0	79	17	activemq-core/src/main/java/org/apache/activemq/broker/jmx/BrokerViewMBean.java
activemq	activemq-5.2.0	activemq-5.3.0	0	26	activemq-core/src/main/java/org/apache/activemq/broker/jmx/ConnectionView.java
activemq	activemq-5.2.0	activemq-5.3.0	6	19	activemq-core/src/main/java/org/apache/activemq/broker/jmx/ConnectionViewMBean.java
activemq	activemq-5.2.0	activemq-5.3.0	0	19	activemq-core/src/main/java/org/apache/activemq/broker/jmx/ConnectorView.java
activemq	activemq-5.2.0	activemq-5.3.0	5	15	activemq-core/src/main/java/org/apache/activemq/broker/jmx/ConnectorViewMBean.java
activemq	activemq-5.2.0	activemq-5.3.0	25	23	activemq-core/src/main/java/org/apache/activemq/broker/jmx/DestinationView.java
activemq	activemq-5.2.0	activemq-5.3.0	53	14	activemq-core/src/main/java/org/apache/activemq/broker/jmx/DestinationViewMBean.java
activemq	activemq-5.2.0	activemq-5.3.0	29	0	activemq-core/src/main/java/org/apache/activemq/broker/jmx/MBeanInfo.java
activemq	activemq-5.2.0	activemq-5.3.0	35	34	activemq-core/src/main/java/org/apache/activemq/broker/jmx/ManagedRegionBroker.java
activemq	activemq-5.2.0	activemq-5.3.0	8	11	activemq-core/src/main/java/org/apache/activemq/broker/jmx/ManagedTransportConnection.java
activemq	activemq-5.2.0	activemq-5.3.0	8	11	activemq-core/src/main/java/org/apache/activemq/broker/jmx/ManagedTransportConnector.java
activemq	activemq-5.2.0	activemq-5.3.0	72	13	activemq-core/src/main/java/org/apache/activemq/broker/jmx/ManagementContext.java
activemq	activemq-5.2.0	activemq-5.3.0	29	11	activemq-core/src/main/java/org/apache/activemq/broker/jmx/QueueViewMBean.java
activemq	activemq-5.2.0	activemq-5.3.0	27	1	activemq-core/src/main/java/org/apache/activemq/broker/jmx/SubscriptionViewMBean.java
