Project	Revision(prev)	Revision(cur)	Added	Deleted	File
activemq	activemq-5.4.0	activemq-5.5.0	1	1	activemq-camel/src/main/java/org/apache/activemq/camel/CamelConnection.java
activemq	activemq-5.4.0	activemq-5.5.0	1	1	activemq-camel/src/main/java/org/apache/activemq/camel/CamelConnectionFactory.java
activemq	activemq-5.4.0	activemq-5.5.0	1	1	activemq-camel/src/main/java/org/apache/activemq/camel/CamelDestination.java
activemq	activemq-5.4.0	activemq-5.5.0	1	1	activemq-camel/src/main/java/org/apache/activemq/camel/CamelMessageConsumer.java
activemq	activemq-5.4.0	activemq-5.5.0	1	1	activemq-camel/src/main/java/org/apache/activemq/camel/CamelMessageProducer.java
activemq	activemq-5.4.0	activemq-5.5.0	1	1	activemq-camel/src/main/java/org/apache/activemq/camel/CamelQueue.java
activemq	activemq-5.4.0	activemq-5.5.0	1	1	activemq-camel/src/main/java/org/apache/activemq/camel/CamelQueueReceiver.java
activemq	activemq-5.4.0	activemq-5.5.0	1	1	activemq-camel/src/main/java/org/apache/activemq/camel/CamelQueueSender.java
activemq	activemq-5.4.0	activemq-5.5.0	1	1	activemq-camel/src/main/java/org/apache/activemq/camel/CamelTopic.java
activemq	activemq-5.4.0	activemq-5.5.0	1	1	activemq-camel/src/main/java/org/apache/activemq/camel/CamelTopicPublisher.java
activemq	activemq-5.4.0	activemq-5.5.0	1	1	activemq-camel/src/main/java/org/apache/activemq/camel/CamelTopicSubscriber.java
activemq	activemq-5.4.0	activemq-5.5.0	8	4	activemq-camel/src/main/java/org/apache/activemq/camel/component/ActiveMQComponent.java
activemq	activemq-5.4.0	activemq-5.5.0	1	1	activemq-camel/src/main/java/org/apache/activemq/camel/component/ActiveMQConfiguration.java
activemq	activemq-5.4.0	activemq-5.5.0	7	7	activemq-camel/src/main/java/org/apache/activemq/camel/component/CamelEndpointLoader.java
activemq	activemq-5.4.0	activemq-5.5.0	2	2	activemq-camel/src/main/java/org/apache/activemq/camel/component/JournalComponent.java
activemq	activemq-5.4.0	activemq-5.5.0	3	3	activemq-camel/src/main/java/org/apache/activemq/camel/component/JournalEndpoint.java
activemq	activemq-5.4.0	activemq-5.5.0	1	1	activemq-camel/src/main/java/org/apache/activemq/camel/converter/ActiveMQConverter.java
activemq	activemq-5.4.0	activemq-5.5.0	1	1	activemq-camel/src/main/java/org/apache/activemq/camel/converter/ActiveMQMessageConverter.java
activemq	activemq-5.4.0	activemq-5.5.0	3	3	activemq-camel/src/test/java/org/apache/activemq/camel/AMQ2611Test.java
activemq	activemq-5.4.0	activemq-5.5.0	1	1	activemq-camel/src/test/java/org/apache/activemq/camel/CamelEmbeddedBrokerTestSupport.java
activemq	activemq-5.4.0	activemq-5.5.0	5	5	activemq-camel/src/test/java/org/apache/activemq/camel/CamelJmsTest.java
activemq	activemq-5.4.0	activemq-5.5.0	5	5	activemq-camel/src/test/java/org/apache/activemq/camel/CamelRedeliveryTest.java
activemq	activemq-5.4.0	activemq-5.5.0	155	0	activemq-camel/src/test/java/org/apache/activemq/camel/CamelVMTransportRoutingTest.java
activemq	activemq-5.4.0	activemq-5.5.0	166	0	activemq-camel/src/test/java/org/apache/activemq/camel/JmsJdbcXATest.java
activemq	activemq-5.4.0	activemq-5.5.0	1	1	activemq-camel/src/test/java/org/apache/activemq/camel/SetGroupIdProcessor.java
activemq	activemq-5.4.0	activemq-5.5.0	5	5	activemq-camel/src/test/java/org/apache/activemq/camel/SetHeaderTest.java
activemq	activemq-5.4.0	activemq-5.5.0	6	6	activemq-camel/src/test/java/org/apache/activemq/camel/component/ActiveMQConfigureTest.java
activemq	activemq-5.4.0	activemq-5.5.0	5	5	activemq-camel/src/test/java/org/apache/activemq/camel/component/ActiveMQJmsHeaderRouteTest.java
activemq	activemq-5.4.0	activemq-5.5.0	5	5	activemq-camel/src/test/java/org/apache/activemq/camel/component/ActiveMQReplyToHeaderUsingConverterTest.java
activemq	activemq-5.4.0	activemq-5.5.0	1	1	activemq-camel/src/test/java/org/apache/activemq/camel/component/ActiveMQRouteTest.java
activemq	activemq-5.4.0	activemq-5.5.0	1	1	activemq-camel/src/test/java/org/apache/activemq/camel/component/AdvisoryConsumerExample.java
activemq	activemq-5.4.0	activemq-5.5.0	5	5	activemq-camel/src/test/java/org/apache/activemq/camel/component/AutoExposeQueuesInCamelTest.java
activemq	activemq-5.4.0	activemq-5.5.0	5	5	activemq-camel/src/test/java/org/apache/activemq/camel/component/InvokeRequestReplyUsingJmsReplyToHeaderTest.java
activemq	activemq-5.4.0	activemq-5.5.0	1	1	activemq-camel/src/test/java/org/apache/activemq/camel/component/JournalConfigureTest.java
activemq	activemq-5.4.0	activemq-5.5.0	1	1	activemq-camel/src/test/java/org/apache/activemq/camel/component/JournalRoutePerformance.java
activemq	activemq-5.4.0	activemq-5.5.0	1	1	activemq-camel/src/test/java/org/apache/activemq/camel/component/JournalRouteTest.java
activemq	activemq-5.4.0	activemq-5.5.0	1	1	activemq-camel/src/test/java/org/apache/activemq/camel/converter/InvokeJmsMessageListenerTest.java
activemq	activemq-5.4.0	activemq-5.5.0	1	1	activemq-camel/src/test/java/org/apache/activemq/camel/converter/InvokeMessageListenerTest.java
activemq	activemq-5.4.0	activemq-5.5.0	103	0	activemq-console/src/main/java/org/apache/activemq/console/ActiveMQLauncher.java
activemq	activemq-5.4.0	activemq-5.5.0	1	1	activemq-console/src/main/java/org/apache/activemq/console/ConsoleCommandHandler.java
activemq	activemq-5.4.0	activemq-5.5.0	1	1	activemq-console/src/main/java/org/apache/activemq/console/Main.java
activemq	activemq-5.4.0	activemq-5.5.0	24	0	activemq-console/src/main/java/org/apache/activemq/console/command/AbstractJmxCommand.java
activemq	activemq-5.4.0	activemq-5.5.0	1	0	activemq-console/src/main/java/org/apache/activemq/console/command/BrowseCommand.java
activemq	activemq-5.4.0	activemq-5.5.0	1	0	activemq-console/src/main/java/org/apache/activemq/console/command/BstatCommand.java
activemq	activemq-5.4.0	activemq-5.5.0	1	0	activemq-console/src/main/java/org/apache/activemq/console/command/CreateCommand.java
activemq	activemq-5.4.0	activemq-5.5.0	53	0	activemq-console/src/main/java/org/apache/activemq/console/command/DecryptCommand.java
activemq	activemq-5.4.0	activemq-5.5.0	79	0	activemq-console/src/main/java/org/apache/activemq/console/command/EncryptCommand.java
activemq	activemq-5.4.0	activemq-5.5.0	1	0	activemq-console/src/main/java/org/apache/activemq/console/command/ListCommand.java
activemq	activemq-5.4.0	activemq-5.5.0	1	0	activemq-console/src/main/java/org/apache/activemq/console/command/PurgeCommand.java
