Project	Revision(prev)	Revision(cur)	Added	Deleted	File
activemq	activemq-5.3.0	activemq-5.4.0	35	2	activemq-camel/src/main/java/org/apache/activemq/camel/component/ActiveMQComponent.java
activemq	activemq-5.3.0	activemq-5.4.0	16	2	activemq-camel/src/main/java/org/apache/activemq/camel/component/ActiveMQConfiguration.java
activemq	activemq-5.3.0	activemq-5.4.0	23	5	activemq-camel/src/main/java/org/apache/activemq/camel/component/CamelEndpointLoader.java
activemq	activemq-5.3.0	activemq-5.4.0	56	0	activemq-camel/src/main/java/org/apache/activemq/camel/converter/IdentityMessageReuseConverter.java
activemq	activemq-5.3.0	activemq-5.4.0	0	110	activemq-camel/src/main/java/org/apache/camel/web/resources/RoutesResource.java
activemq	activemq-5.3.0	activemq-5.4.0	104	0	activemq-camel/src/test/java/org/apache/activemq/camel/AMQ2611Test.java
activemq	activemq-5.3.0	activemq-5.4.0	86	0	activemq-camel/src/test/java/org/apache/activemq/camel/CamelRedeliveryTest.java
activemq	activemq-5.3.0	activemq-5.4.0	2	2	activemq-console/src/main/java/org/apache/activemq/console/Main.java
activemq	activemq-5.3.0	activemq-5.4.0	7	0	activemq-console/src/main/java/org/apache/activemq/console/command/BstatCommand.java
activemq	activemq-5.3.0	activemq-5.4.0	292	0	activemq-console/src/main/java/org/apache/activemq/console/command/CreateCommand.java
activemq	activemq-5.3.0	activemq-5.4.0	1	1	activemq-console/src/main/java/org/apache/activemq/console/command/PurgeCommand.java
activemq	activemq-5.3.0	activemq-5.4.0	9	1	activemq-console/src/main/java/org/apache/activemq/console/command/ShellCommand.java
activemq	activemq-5.3.0	activemq-5.4.0	353	0	activemq-console/src/main/java/org/apache/activemq/console/command/store/amq/AMQJournalTool.java
activemq	activemq-5.3.0	activemq-5.4.0	44	0	activemq-console/src/main/java/org/apache/activemq/console/command/store/amq/AMQJournalToolCommand.java
activemq	activemq-5.3.0	activemq-5.4.0	123	0	activemq-console/src/main/java/org/apache/activemq/console/command/store/amq/CommandLineSupport.java
activemq	activemq-5.3.0	activemq-5.4.0	97	0	activemq-console/src/main/java/org/apache/activemq/console/command/store/amq/CustomResourceLoader.java
activemq	activemq-5.3.0	activemq-5.4.0	70	0	activemq-console/src/main/java/org/apache/activemq/console/command/store/amq/Entry.java
activemq	activemq-5.3.0	activemq-5.4.0	62	0	activemq-console/src/main/java/org/apache/activemq/console/command/store/amq/MessageBodyFormatter.java
activemq	activemq-5.3.0	activemq-5.4.0	86	0	activemq-console/src/main/java/org/apache/activemq/console/command/store/amq/reader/AMQIterator.java
activemq	activemq-5.3.0	activemq-5.4.0	172	0	activemq-console/src/main/java/org/apache/activemq/console/command/store/amq/reader/AMQReader.java
