Project	Revision(prev)	Revision(cur)	Added	Deleted	File
activemq	activemq-5.1.0	activemq-5.2.0	63	0	activemq-camel-loadtest/src/test/java/org/apache/activemq/soaktest/localBroker/CounterBean.java
activemq	activemq-5.1.0	activemq-5.2.0	40	0	activemq-camel-loadtest/src/test/java/org/apache/activemq/soaktest/localBroker/LocalBrokerConsumeTest.java
activemq	activemq-5.1.0	activemq-5.2.0	44	0	activemq-camel/src/main/java/org/apache/activemq/camel/CamelConnection.java
activemq	activemq-5.1.0	activemq-5.2.0	55	0	activemq-camel/src/main/java/org/apache/activemq/camel/CamelConnectionFactory.java
activemq	activemq-5.1.0	activemq-5.2.0	159	0	activemq-camel/src/main/java/org/apache/activemq/camel/CamelDestination.java
activemq	activemq-5.1.0	activemq-5.2.0	173	0	activemq-camel/src/main/java/org/apache/activemq/camel/CamelMessageConsumer.java
activemq	activemq-5.1.0	activemq-5.2.0	104	0	activemq-camel/src/main/java/org/apache/activemq/camel/CamelMessageProducer.java
activemq	activemq-5.1.0	activemq-5.2.0	48	0	activemq-camel/src/main/java/org/apache/activemq/camel/CamelQueue.java
activemq	activemq-5.1.0	activemq-5.2.0	50	0	activemq-camel/src/main/java/org/apache/activemq/camel/CamelQueueReceiver.java
activemq	activemq-5.1.0	activemq-5.2.0	91	0	activemq-camel/src/main/java/org/apache/activemq/camel/CamelQueueSender.java
activemq	activemq-5.1.0	activemq-5.2.0	50	0	activemq-camel/src/main/java/org/apache/activemq/camel/CamelTopic.java
activemq	activemq-5.1.0	activemq-5.2.0	146	0	activemq-camel/src/main/java/org/apache/activemq/camel/CamelTopicPublisher.java
activemq	activemq-5.1.0	activemq-5.2.0	65	0	activemq-camel/src/main/java/org/apache/activemq/camel/CamelTopicSubscriber.java
activemq	activemq-5.1.0	activemq-5.2.0	136	0	activemq-camel/src/main/java/org/apache/activemq/camel/component/ActiveMQComponent.java
activemq	activemq-5.1.0	activemq-5.2.0	191	0	activemq-camel/src/main/java/org/apache/activemq/camel/component/ActiveMQConfiguration.java
activemq	activemq-5.1.0	activemq-5.2.0	162	0	activemq-camel/src/main/java/org/apache/activemq/camel/component/CamelEndpointLoader.java
activemq	activemq-5.1.0	activemq-5.2.0	39	0	activemq-camel/src/main/java/org/apache/activemq/camel/component/JournalComponent.java
activemq	activemq-5.1.0	activemq-5.2.0	234	0	activemq-camel/src/main/java/org/apache/activemq/camel/component/JournalEndpoint.java
activemq	activemq-5.1.0	activemq-5.2.0	42	0	activemq-camel/src/main/java/org/apache/activemq/camel/converter/ActiveMQConverter.java
activemq	activemq-5.1.0	activemq-5.2.0	102	0	activemq-camel/src/main/java/org/apache/activemq/camel/converter/ActiveMQMessageConverter.java
activemq	activemq-5.1.0	activemq-5.2.0	145	0	activemq-camel/src/test/java/org/apache/activemq/camel/CamelEmbeddedBrokerTestSupport.java
activemq	activemq-5.1.0	activemq-5.2.0	104	0	activemq-camel/src/test/java/org/apache/activemq/camel/CamelJmsTest.java
activemq	activemq-5.1.0	activemq-5.2.0	36	0	activemq-camel/src/test/java/org/apache/activemq/camel/SetGroupIdProcessor.java
activemq	activemq-5.1.0	activemq-5.2.0	60	0	activemq-camel/src/test/java/org/apache/activemq/camel/SetHeaderTest.java
activemq	activemq-5.1.0	activemq-5.2.0	78	0	activemq-camel/src/test/java/org/apache/activemq/camel/component/ActiveMQConfigureTest.java
activemq	activemq-5.1.0	activemq-5.2.0	98	0	activemq-camel/src/test/java/org/apache/activemq/camel/component/ActiveMQJmsHeaderRouteTest.java
activemq	activemq-5.1.0	activemq-5.2.0	110	0	activemq-camel/src/test/java/org/apache/activemq/camel/component/ActiveMQReplyToHeaderUsingConverterTest.java
activemq	activemq-5.1.0	activemq-5.2.0	83	0	activemq-camel/src/test/java/org/apache/activemq/camel/component/ActiveMQRouteTest.java
activemq	activemq-5.1.0	activemq-5.2.0	72	0	activemq-camel/src/test/java/org/apache/activemq/camel/component/AdvisoryConsumerExample.java
activemq	activemq-5.1.0	activemq-5.2.0	104	0	activemq-camel/src/test/java/org/apache/activemq/camel/component/AutoExposeQueuesInCamelTest.java
activemq	activemq-5.1.0	activemq-5.2.0	69	0	activemq-camel/src/test/java/org/apache/activemq/camel/component/BrowseQueuesInUFace.java
activemq	activemq-5.1.0	activemq-5.2.0	138	0	activemq-camel/src/test/java/org/apache/activemq/camel/component/InvokeRequestReplyUsingJmsReplyToHeaderTest.java
activemq	activemq-5.1.0	activemq-5.2.0	48	0	activemq-camel/src/test/java/org/apache/activemq/camel/component/JournalConfigureTest.java
activemq	activemq-5.1.0	activemq-5.2.0	99	0	activemq-camel/src/test/java/org/apache/activemq/camel/component/JournalRoutePerformance.java
activemq	activemq-5.1.0	activemq-5.2.0	65	0	activemq-camel/src/test/java/org/apache/activemq/camel/component/JournalRouteTest.java
activemq	activemq-5.1.0	activemq-5.2.0	59	0	activemq-camel/src/test/java/org/apache/activemq/camel/converter/InvokeJmsMessageListenerTest.java
activemq	activemq-5.1.0	activemq-5.2.0	69	0	activemq-camel/src/test/java/org/apache/activemq/camel/converter/InvokeMessageListenerTest.java
activemq	activemq-5.1.0	activemq-5.2.0	3	0	activemq-console/src/main/java/org/apache/activemq/console/Main.java
activemq	activemq-5.1.0	activemq-5.2.0	2	0	activemq-console/src/main/java/org/apache/activemq/console/command/AbstractCommand.java
activemq	activemq-5.1.0	activemq-5.2.0	99	4	activemq-console/src/main/java/org/apache/activemq/console/command/AbstractJmxCommand.java
activemq	activemq-5.1.0	activemq-5.2.0	6	3	activemq-console/src/main/java/org/apache/activemq/console/command/BrowseCommand.java
activemq	activemq-5.1.0	activemq-5.2.0	3	0	activemq-console/src/main/java/org/apache/activemq/console/command/BstatCommand.java
activemq	activemq-5.1.0	activemq-5.2.0	7	4	activemq-console/src/main/java/org/apache/activemq/console/command/ListCommand.java
activemq	activemq-5.1.0	activemq-5.2.0	7	12	activemq-console/src/main/java/org/apache/activemq/console/command/PurgeCommand.java
activemq	activemq-5.1.0	activemq-5.2.0	5	2	activemq-console/src/main/java/org/apache/activemq/console/command/QueryCommand.java
activemq	activemq-5.1.0	activemq-5.2.0	16	17	activemq-console/src/main/java/org/apache/activemq/console/command/ShutdownCommand.java
activemq	activemq-5.1.0	activemq-5.2.0	27	9	activemq-console/src/main/java/org/apache/activemq/console/command/StartCommand.java
activemq	activemq-5.1.0	activemq-5.2.0	1	0	activemq-console/src/main/java/org/apache/activemq/console/filter/AbstractQueryFilter.java
activemq	activemq-5.1.0	activemq-5.2.0	6	11	activemq-console/src/main/java/org/apache/activemq/console/filter/MBeansAttributeQueryFilter.java
activemq	activemq-5.1.0	activemq-5.2.0	6	64	activemq-console/src/main/java/org/apache/activemq/console/filter/MBeansObjectNameQueryFilter.java
activemq	activemq-5.1.0	activemq-5.2.0	14	6	activemq-console/src/main/java/org/apache/activemq/console/filter/MapTransformFilter.java
activemq	activemq-5.1.0	activemq-5.2.0	5	45	activemq-console/src/main/java/org/apache/activemq/console/filter/MessagesQueryFilter.java
activemq	activemq-5.1.0	activemq-5.2.0	1	0	activemq-console/src/main/java/org/apache/activemq/console/formatter/CommandShellOutputFormatter.java
activemq	activemq-5.1.0	activemq-5.2.0	25	24	activemq-console/src/main/java/org/apache/activemq/console/util/JmxMBeansUtil.java
activemq	activemq-5.1.0	activemq-5.2.0	130	41	activemq-core/src/main/java/org/apache/activemq/ActiveMQConnection.java
activemq	activemq-5.1.0	activemq-5.2.0	2	2	activemq-core/src/main/java/org/apache/activemq/ActiveMQConnectionConsumer.java
activemq	activemq-5.1.0	activemq-5.2.0	19	0	activemq-core/src/main/java/org/apache/activemq/ActiveMQConnectionFactory.java
activemq	activemq-5.1.0	activemq-5.2.0	90	36	activemq-core/src/main/java/org/apache/activemq/ActiveMQMessageConsumer.java
activemq	activemq-5.1.0	activemq-5.2.0	1	1	activemq-core/src/main/java/org/apache/activemq/ActiveMQQueueBrowser.java
activemq	activemq-5.1.0	activemq-5.2.0	37	6	activemq-core/src/main/java/org/apache/activemq/ActiveMQSession.java
activemq	activemq-5.1.0	activemq-5.2.0	1	1	activemq-core/src/main/java/org/apache/activemq/AdvisoryConsumer.java
activemq	activemq-5.1.0	activemq-5.2.0	41	0	activemq-core/src/main/java/org/apache/activemq/ClientInternalExceptionListener.java
activemq	activemq-5.1.0	activemq-5.2.0	4	0	activemq-core/src/main/java/org/apache/activemq/TransactionContext.java
activemq	activemq-5.1.0	activemq-5.2.0	124	17	activemq-core/src/main/java/org/apache/activemq/advisory/AdvisoryBroker.java
activemq	activemq-5.1.0	activemq-5.2.0	156	0	activemq-core/src/main/java/org/apache/activemq/advisory/AdvisorySupport.java
activemq	activemq-5.1.0	activemq-5.2.0	7	2	activemq-core/src/main/java/org/apache/activemq/advisory/ConsumerEventSource.java
activemq	activemq-5.1.0	activemq-5.2.0	3	4	activemq-core/src/main/java/org/apache/activemq/advisory/DestinationSource.java
activemq	activemq-5.1.0	activemq-5.2.0	55	0	activemq-core/src/main/java/org/apache/activemq/broker/Broker.java
activemq	activemq-5.1.0	activemq-5.2.0	30	0	activemq-core/src/main/java/org/apache/activemq/broker/BrokerFilter.java
activemq	activemq-5.1.0	activemq-5.2.0	1	0	activemq-core/src/main/java/org/apache/activemq/broker/BrokerRegistry.java
activemq	activemq-5.1.0	activemq-5.2.0	125	23	activemq-core/src/main/java/org/apache/activemq/broker/BrokerService.java
activemq	activemq-5.1.0	activemq-5.2.0	23	1	activemq-core/src/main/java/org/apache/activemq/broker/EmptyBroker.java
activemq	activemq-5.1.0	activemq-5.2.0	29	0	activemq-core/src/main/java/org/apache/activemq/broker/ErrorBroker.java
activemq	activemq-5.1.0	activemq-5.2.0	29	0	activemq-core/src/main/java/org/apache/activemq/broker/MutableBrokerFilter.java
activemq	activemq-5.1.0	activemq-5.2.0	10	3	activemq-core/src/main/java/org/apache/activemq/broker/SslBrokerService.java
activemq	activemq-5.1.0	activemq-5.2.0	135	0	activemq-core/src/main/java/org/apache/activemq/broker/SslContext.java
activemq	activemq-5.1.0	activemq-5.2.0	27	8	activemq-core/src/main/java/org/apache/activemq/broker/TransportConnection.java
activemq	activemq-5.1.0	activemq-5.2.0	4	0	activemq-core/src/main/java/org/apache/activemq/broker/TransportConnector.java
activemq	activemq-5.1.0	activemq-5.2.0	29	9	activemq-core/src/main/java/org/apache/activemq/broker/ft/MasterBroker.java
activemq	activemq-5.1.0	activemq-5.2.0	2	4	activemq-core/src/main/java/org/apache/activemq/broker/ft/MasterConnector.java
activemq	activemq-5.1.0	activemq-5.2.0	4	0	activemq-core/src/main/java/org/apache/activemq/broker/jmx/BrokerView.java
activemq	activemq-5.1.0	activemq-5.2.0	2	0	activemq-core/src/main/java/org/apache/activemq/broker/jmx/BrokerViewMBean.java
activemq	activemq-5.1.0	activemq-5.2.0	42	0	activemq-core/src/main/java/org/apache/activemq/broker/jmx/CompositeDataConstants.java
activemq	activemq-5.1.0	activemq-5.2.0	73	0	activemq-core/src/main/java/org/apache/activemq/broker/jmx/CompositeDataHelper.java
activemq	activemq-5.1.0	activemq-5.2.0	48	3	activemq-core/src/main/java/org/apache/activemq/broker/jmx/DestinationView.java
activemq	activemq-5.1.0	activemq-5.2.0	54	0	activemq-core/src/main/java/org/apache/activemq/broker/jmx/DestinationViewMBean.java
activemq	activemq-5.1.0	activemq-5.2.0	56	2	activemq-core/src/main/java/org/apache/activemq/broker/jmx/DurableSubscriptionView.java
activemq	activemq-5.1.0	activemq-5.2.0	33	0	activemq-core/src/main/java/org/apache/activemq/broker/jmx/DurableSubscriptionViewMBean.java
activemq	activemq-5.1.0	activemq-5.2.0	2	4	activemq-core/src/main/java/org/apache/activemq/broker/jmx/InactiveDurableSubscriptionView.java
activemq	activemq-5.1.0	activemq-5.2.0	29	20	activemq-core/src/main/java/org/apache/activemq/broker/jmx/ManagedRegionBroker.java
activemq	activemq-5.1.0	activemq-5.2.0	134	16	activemq-core/src/main/java/org/apache/activemq/broker/jmx/OpenTypeSupport.java
activemq	activemq-5.1.0	activemq-5.2.0	75	0	activemq-core/src/main/java/org/apache/activemq/broker/jmx/QueueView.java
activemq	activemq-5.1.0	activemq-5.2.0	38	0	activemq-core/src/main/java/org/apache/activemq/broker/jmx/QueueViewMBean.java
activemq	activemq-5.1.0	activemq-5.2.0	29	0	activemq-core/src/main/java/org/apache/activemq/broker/jmx/SubscriptionView.java
activemq	activemq-5.1.0	activemq-5.2.0	16	0	activemq-core/src/main/java/org/apache/activemq/broker/jmx/SubscriptionViewMBean.java
activemq	activemq-5.1.0	activemq-5.2.0	2	0	activemq-core/src/main/java/org/apache/activemq/broker/jmx/TopicSubscriptionView.java
activemq	activemq-5.1.0	activemq-5.2.0	14	5	activemq-core/src/main/java/org/apache/activemq/broker/region/AbstractRegion.java
activemq	activemq-5.1.0	activemq-5.2.0	21	0	activemq-core/src/main/java/org/apache/activemq/broker/region/AbstractSubscription.java
activemq	activemq-5.1.0	activemq-5.2.0	7	0	activemq-core/src/main/java/org/apache/activemq/broker/region/AbstractTempRegion.java
activemq	activemq-5.1.0	activemq-5.2.0	198	2	activemq-core/src/main/java/org/apache/activemq/broker/region/BaseDestination.java
activemq	activemq-5.1.0	activemq-5.2.0	61	1	activemq-core/src/main/java/org/apache/activemq/broker/region/Destination.java
activemq	activemq-5.1.0	activemq-5.2.0	50	1	activemq-core/src/main/java/org/apache/activemq/broker/region/DestinationFilter.java
activemq	activemq-5.1.0	activemq-5.2.0	11	6	activemq-core/src/main/java/org/apache/activemq/broker/region/DestinationStatistics.java
activemq	activemq-5.1.0	activemq-5.2.0	5	1	activemq-core/src/main/java/org/apache/activemq/broker/region/IndirectMessageReference.java
activemq	activemq-5.1.0	activemq-5.2.0	5	0	activemq-core/src/main/java/org/apache/activemq/broker/region/MessageReference.java
activemq	activemq-5.1.0	activemq-5.2.0	4	0	activemq-core/src/main/java/org/apache/activemq/broker/region/NullMessageReference.java
activemq	activemq-5.1.0	activemq-5.2.0	146	49	activemq-core/src/main/java/org/apache/activemq/broker/region/PrefetchSubscription.java
activemq	activemq-5.1.0	activemq-5.2.0	391	262	activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java
activemq	activemq-5.1.0	activemq-5.2.0	3	15	activemq-core/src/main/java/org/apache/activemq/broker/region/RegionBroker.java
activemq	activemq-5.1.0	activemq-5.2.0	7	0	activemq-core/src/main/java/org/apache/activemq/broker/region/Subscription.java
activemq	activemq-5.1.0	activemq-5.2.0	116	104	activemq-core/src/main/java/org/apache/activemq/broker/region/Topic.java
activemq	activemq-5.1.0	activemq-5.2.0	14	1	activemq-core/src/main/java/org/apache/activemq/broker/region/TopicSubscription.java
activemq	activemq-5.1.0	activemq-5.2.0	6	15	activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/AbstractPendingMessageCursor.java
activemq	activemq-5.1.0	activemq-5.2.0	52	14	activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/AbstractStoreCursor.java
activemq	activemq-5.1.0	activemq-5.2.0	1	0	activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java
activemq	activemq-5.1.0	activemq-5.2.0	12	9	activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/PendingMessageCursor.java
activemq	activemq-5.1.0	activemq-5.2.0	6	14	activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/StoreDurableSubscriberCursor.java
activemq	activemq-5.1.0	activemq-5.2.0	21	16	activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/StoreQueueCursor.java
activemq	activemq-5.1.0	activemq-5.2.0	1	14	activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/TopicStorePrefetch.java
activemq	activemq-5.1.0	activemq-5.2.0	4	0	activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/VMPendingMessageCursor.java
activemq	activemq-5.1.0	activemq-5.2.0	1	1	activemq-core/src/main/java/org/apache/activemq/broker/region/policy/AbstractDeadLetterStrategy.java
activemq	activemq-5.1.0	activemq-5.2.0	20	0	activemq-core/src/main/java/org/apache/activemq/broker/region/policy/DeadLetterStrategy.java
activemq	activemq-5.1.0	activemq-5.2.0	5	1	activemq-core/src/main/java/org/apache/activemq/broker/region/policy/FixedSizedSubscriptionRecoveryPolicy.java
activemq	activemq-5.1.0	activemq-5.2.0	126	17	activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java
activemq	activemq-5.1.0	activemq-5.2.0	3	1	activemq-core/src/main/java/org/apache/activemq/broker/region/policy/SharedDeadLetterStrategy.java
activemq	activemq-5.1.0	activemq-5.2.0	21	3	activemq-core/src/main/java/org/apache/activemq/broker/util/CommandAgent.java
activemq	activemq-5.1.0	activemq-5.2.0	3	2	activemq-core/src/main/java/org/apache/activemq/broker/view/ConnectionDotFileInterceptor.java
activemq	activemq-5.1.0	activemq-5.2.0	0	44	activemq-core/src/main/java/org/apache/activemq/camel/CamelConnection.java
activemq	activemq-5.1.0	activemq-5.2.0	0	55	activemq-core/src/main/java/org/apache/activemq/camel/CamelConnectionFactory.java
activemq	activemq-5.1.0	activemq-5.2.0	0	159	activemq-core/src/main/java/org/apache/activemq/camel/CamelDestination.java
activemq	activemq-5.1.0	activemq-5.2.0	0	173	activemq-core/src/main/java/org/apache/activemq/camel/CamelMessageConsumer.java
activemq	activemq-5.1.0	activemq-5.2.0	0	104	activemq-core/src/main/java/org/apache/activemq/camel/CamelMessageProducer.java
activemq	activemq-5.1.0	activemq-5.2.0	0	48	activemq-core/src/main/java/org/apache/activemq/camel/CamelQueue.java
activemq	activemq-5.1.0	activemq-5.2.0	0	50	activemq-core/src/main/java/org/apache/activemq/camel/CamelQueueReceiver.java
activemq	activemq-5.1.0	activemq-5.2.0	0	91	activemq-core/src/main/java/org/apache/activemq/camel/CamelQueueSender.java
activemq	activemq-5.1.0	activemq-5.2.0	0	50	activemq-core/src/main/java/org/apache/activemq/camel/CamelTopic.java
activemq	activemq-5.1.0	activemq-5.2.0	0	146	activemq-core/src/main/java/org/apache/activemq/camel/CamelTopicPublisher.java
activemq	activemq-5.1.0	activemq-5.2.0	0	65	activemq-core/src/main/java/org/apache/activemq/camel/CamelTopicSubscriber.java
activemq	activemq-5.1.0	activemq-5.2.0	0	119	activemq-core/src/main/java/org/apache/activemq/camel/component/ActiveMQComponent.java
activemq	activemq-5.1.0	activemq-5.2.0	0	135	activemq-core/src/main/java/org/apache/activemq/camel/component/ActiveMQConfiguration.java
activemq	activemq-5.1.0	activemq-5.2.0	0	160	activemq-core/src/main/java/org/apache/activemq/camel/component/CamelEndpointLoader.java
activemq	activemq-5.1.0	activemq-5.2.0	0	39	activemq-core/src/main/java/org/apache/activemq/camel/component/JournalComponent.java
activemq	activemq-5.1.0	activemq-5.2.0	0	227	activemq-core/src/main/java/org/apache/activemq/camel/component/JournalEndpoint.java
activemq	activemq-5.1.0	activemq-5.2.0	0	42	activemq-core/src/main/java/org/apache/activemq/camel/converter/ActiveMQConverter.java
activemq	activemq-5.1.0	activemq-5.2.0	0	102	activemq-core/src/main/java/org/apache/activemq/camel/converter/ActiveMQMessageConverter.java
activemq	activemq-5.1.0	activemq-5.2.0	1	0	activemq-core/src/main/java/org/apache/activemq/command/ActiveMQBlobMessage.java
activemq	activemq-5.1.0	activemq-5.2.0	15	0	activemq-core/src/main/java/org/apache/activemq/command/ActiveMQMessage.java
activemq	activemq-5.1.0	activemq-5.2.0	4	0	activemq-core/src/main/java/org/apache/activemq/command/ActiveMQStreamMessage.java
activemq	activemq-5.1.0	activemq-5.2.0	15	0	activemq-core/src/main/java/org/apache/activemq/command/ActiveMQTextMessage.java
activemq	activemq-5.1.0	activemq-5.2.0	7	1	activemq-core/src/main/java/org/apache/activemq/command/BaseCommand.java
activemq	activemq-5.1.0	activemq-5.2.0	15	4	activemq-core/src/main/java/org/apache/activemq/command/Message.java
activemq	activemq-5.1.0	activemq-5.2.0	9	0	activemq-core/src/main/java/org/apache/activemq/command/MessageAck.java
activemq	activemq-5.1.0	activemq-5.2.0	20	0	activemq-core/src/main/java/org/apache/activemq/kaha/MapContainer.java
activemq	activemq-5.1.0	activemq-5.2.0	1	1	activemq-core/src/main/java/org/apache/activemq/kaha/impl/KahaStore.java
activemq	activemq-5.1.0	activemq-5.2.0	28	16	activemq-core/src/main/java/org/apache/activemq/kaha/impl/async/AsyncDataManager.java
activemq	activemq-5.1.0	activemq-5.2.0	22	3	activemq-core/src/main/java/org/apache/activemq/kaha/impl/container/MapContainerImpl.java
activemq	activemq-5.1.0	activemq-5.2.0	7	0	activemq-core/src/main/java/org/apache/activemq/kaha/impl/index/IndexItem.java
activemq	activemq-5.1.0	activemq-5.2.0	18	2	activemq-core/src/main/java/org/apache/activemq/kaha/impl/index/IndexManager.java
activemq	activemq-5.1.0	activemq-5.2.0	135	10	activemq-core/src/main/java/org/apache/activemq/kaha/impl/index/hash/HashIndex.java
activemq	activemq-5.1.0	activemq-5.2.0	1	1	activemq-core/src/main/java/org/apache/activemq/kaha/impl/index/tree/TreeIndex.java
activemq	activemq-5.1.0	activemq-5.2.0	4	2	activemq-core/src/main/java/org/apache/activemq/management/CountStatisticImpl.java
activemq	activemq-5.1.0	activemq-5.2.0	6	4	activemq-core/src/main/java/org/apache/activemq/management/RangeStatisticImpl.java
activemq	activemq-5.1.0	activemq-5.2.0	32	15	activemq-core/src/main/java/org/apache/activemq/management/StatisticImpl.java
activemq	activemq-5.1.0	activemq-5.2.0	7	5	activemq-core/src/main/java/org/apache/activemq/management/TimeStatisticImpl.java
activemq	activemq-5.1.0	activemq-5.2.0	1	0	activemq-core/src/main/java/org/apache/activemq/network/DemandForwardingBridge.java
activemq	activemq-5.1.0	activemq-5.2.0	74	16	activemq-core/src/main/java/org/apache/activemq/network/DemandForwardingBridgeSupport.java
activemq	activemq-5.1.0	activemq-5.2.0	4	18	activemq-core/src/main/java/org/apache/activemq/network/DemandSubscription.java
activemq	activemq-5.1.0	activemq-5.2.0	21	13	activemq-core/src/main/java/org/apache/activemq/network/DiscoveryNetworkConnector.java
activemq	activemq-5.1.0	activemq-5.2.0	7	2	activemq-core/src/main/java/org/apache/activemq/network/jms/JmsConnector.java
activemq	activemq-5.1.0	activemq-5.2.0	157	0	activemq-core/src/main/java/org/apache/activemq/plugin/DiscardingDLQBroker.java
activemq	activemq-5.1.0	activemq-5.2.0	114	0	activemq-core/src/main/java/org/apache/activemq/plugin/DiscardingDLQBrokerPlugin.java
activemq	activemq-5.1.0	activemq-5.2.0	0	75	activemq-core/src/main/java/org/apache/activemq/pool/ConnectionKey.java
activemq	activemq-5.1.0	activemq-5.2.0	0	229	activemq-core/src/main/java/org/apache/activemq/pool/ConnectionPool.java
activemq	activemq-5.1.0	activemq-5.2.0	0	173	activemq-core/src/main/java/org/apache/activemq/pool/PooledConnection.java
activemq	activemq-5.1.0	activemq-5.2.0	0	205	activemq-core/src/main/java/org/apache/activemq/pool/PooledConnectionFactory.java
activemq	activemq-5.1.0	activemq-5.2.0	0	132	activemq-core/src/main/java/org/apache/activemq/pool/PooledProducer.java
activemq	activemq-5.1.0	activemq-5.2.0	0	53	activemq-core/src/main/java/org/apache/activemq/pool/PooledQueueSender.java
activemq	activemq-5.1.0	activemq-5.2.0	0	327	activemq-core/src/main/java/org/apache/activemq/pool/PooledSession.java
activemq	activemq-5.1.0	activemq-5.2.0	0	59	activemq-core/src/main/java/org/apache/activemq/pool/PooledTopicPublisher.java
activemq	activemq-5.1.0	activemq-5.2.0	0	63	activemq-core/src/main/java/org/apache/activemq/pool/SessionKey.java
activemq	activemq-5.1.0	activemq-5.2.0	0	111	activemq-core/src/main/java/org/apache/activemq/pool/SessionPool.java
activemq	activemq-5.1.0	activemq-5.2.0	6	0	activemq-core/src/main/java/org/apache/activemq/security/AuthorizationBroker.java
activemq	activemq-5.1.0	activemq-5.2.0	194	0	activemq-core/src/main/java/org/apache/activemq/spring/SpringSslContext.java
activemq	activemq-5.1.0	activemq-5.2.0	2	0	activemq-core/src/main/java/org/apache/activemq/state/ConnectionStateTracker.java
